lon,lat
-73.9114384,40.8434903
-73.8166244,40.7003783
-73.9484207,40.6139406
-73.9527248,40.7899953
-74.10582699999999,40.6356701
-73.9864118,40.7695024
-73.8253356,40.7472479
-73.9777743,40.691265
-73.88004099999999,40.8804291
-73.9243948,40.816972
-73.958931,40.7627183
-73.96084900000001,40.7739971
-73.8463639,40.855993
-73.8857314,40.74516939999999
-74.086124,40.5847086
-73.9843091,40.7331083
-73.8173243,40.75533009999999
-73.9986445,40.6394544
-73.9648753,40.5855566
-73.9444135,40.7848328
-73.93355559999999,40.6591623
-73.9439771,40.65658699999999
-73.9750165,40.7390729
-73.9738058,40.7421893
-73.9174616,40.7041907
-73.8042681,40.7170256
-73.9123577,40.6549713
-73.97842399999999,40.6677145
-73.93950869999999,40.8143104
-73.952559,40.7650229
-73.94460029999999,40.6552664
-73.8810928,40.8805747
-73.75348369999999,40.59862440000001
-73.9425116,40.6996948
-73.9373439,40.678599
-73.8913311,40.8529975
