city,tract,county,Total,White,Black,Native,Asian,Pacific Islander,Other,Two or More
 New York,263, Bronx County,6015,1282,1270,217,0,0,2947,299
 New York,265, Bronx County,7615,992,946,0,373,0,5081,223
 New York,281, Bronx County,4236,2033,936,0,119,28,956,164
 New York,283, Bronx County,2618,748,894,0,1,0,849,126
 New York,314, Bronx County,2209,1062,311,0,256,0,570,10
 New York,328, Bronx County,3982,1019,750,56,345,0,1550,262
 New York,374, Bronx County,3838,477,2286,0,35,0,966,74
 New York,382, Bronx County,2943,217,2244,0,66,0,411,5
 New York,386, Bronx County,8737,132,7034,0,993,0,340,238
 New York,4, Bronx County,5634,2623,1699,30,226,0,847,209
 New York,2, Bronx County,4542,2165,1279,0,104,0,801,193
 New York,35, Bronx County,3900,547,1425,82,0,0,1754,92
 New York,40.01, Bronx County,1485,450,163,0,175,0,659,38
 New York,43, Bronx County,6088,898,1924,39,42,0,2888,297
 New York,52, Bronx County,2091,311,505,36,9,0,1134,96
 New York,390, Bronx County,2766,217,2361,0,62,0,79,47
 New York,393, Bronx County,8721,1193,2531,0,96,0,4415,486
 New York,403.02, Bronx County,4300,443,631,89,175,0,2825,137
 New York,404, Bronx County,3370,198,2984,8,0,0,180,0
 New York,407.01, Bronx County,3259,539,402,0,40,0,2267,11
 New York,415, Bronx County,6058,776,1260,39,38,0,3580,365
 New York,436, Bronx County,2042,141,1418,0,118,0,358,7
 New York,389, Bronx County,5453,1779,442,38,179,0,2958,57
 New York,448, Bronx County,1917,99,1600,0,0,0,207,11
 New York,516, Bronx County,4036,3266,4,0,226,0,375,165
 New York,392, Bronx County,1655,123,1230,0,0,0,269,33
 New York,391, Bronx County,7438,1677,1148,0,143,0,3861,609
 New York,394, Bronx County,5308,594,3630,152,0,0,682,250
 New York,398, Bronx County,3587,354,3139,0,33,0,61,0
 New York,414, Bronx County,5163,738,3123,0,157,0,873,272
 New York,418, Bronx County,3957,617,2249,0,532,0,257,302
 New York,422, Bronx County,3292,142,2743,15,30,0,286,76
 New York,430, Bronx County,3551,303,2463,10,194,0,372,209
 New York,431, Bronx County,10627,2027,2312,16,1396,0,4025,851
 New York,449.01, Bronx County,1631,1367,131,7,27,0,48,51
 New York,462.01, Bronx County,28272,5503,17050,59,848,0,3358,1454
 New York,462.02, Bronx County,9915,1011,6787,379,104,0,1255,379
 New York,225, Bronx County,8271,906,2513,0,161,0,4248,443
 New York,228, Bronx County,6096,1812,1253,0,760,0,1880,391
 New York,232, Bronx County,2711,965,333,32,106,0,1207,68
 New York,46, Bronx County,1817,817,655,0,0,0,232,113
 New York,60, Bronx County,1451,367,310,0,43,0,711,20
 New York,70, Bronx County,4584,1013,1165,0,571,0,1648,187
 New York,73, Bronx County,4314,746,1142,0,0,102,2247,77
 New York,74, Bronx County,3314,1456,1087,0,0,0,657,114
 New York,75, Bronx County,6112,730,2765,142,40,0,2217,218
 New York,77, Bronx County,2022,314,743,39,14,0,872,40
 New York,92, Bronx County,6091,1212,1227,0,1088,0,2060,504
 New York,127.01, Bronx County,1832,414,376,23,65,0,940,14
 New York,135, Bronx County,3541,561,1506,12,0,130,1144,188
 New York,138, Bronx County,2597,1807,195,0,159,0,390,46
 New York,161, Bronx County,4361,317,1624,0,0,11,2337,72
 New York,171, Bronx County,0,0,0,0,0,0,0,0
 New York,195, Bronx County,7418,1025,2931,5,15,0,2796,646
 New York,229.02, Bronx County,3578,563,1033,0,20,0,1786,176
 New York,233.02, Bronx County,3627,894,952,22,80,0,1637,42
 New York,244, Bronx County,2277,973,142,9,50,0,1008,95
 New York,269, Bronx County,3364,432,660,41,149,0,1969,113
 New York,273, Bronx County,7895,1247,2238,23,135,0,3554,698
 New York,295, Bronx County,4649,2897,579,0,348,0,454,371
 New York,297, Bronx County,3727,2855,220,0,216,0,301,135
 New York,310, Bronx County,4776,2136,1114,191,505,0,688,142
 New York,316, Bronx County,1910,910,181,0,233,0,504,82
 New York,318, Bronx County,1987,977,503,29,179,63,227,9
 New York,323, Bronx County,4400,2997,608,0,390,0,251,154
 New York,324, Bronx County,3696,745,893,0,118,0,1842,98
 New York,334, Bronx County,72,12,58,0,0,0,2,0
 New York,363, Bronx County,7735,1572,1795,52,0,94,3919,303
 New York,379, Bronx County,5268,461,2740,14,121,0,1788,144
 New York,369.02, Bronx County,2156,554,691,67,0,0,805,39
 New York,373, Bronx County,5908,850,3075,72,3,0,1741,167
 New York,378, Bronx County,3033,237,1842,0,18,0,668,268
 New York,387, Bronx County,3622,770,710,0,20,0,2017,105
 New York,396, Bronx County,4741,252,3864,0,18,0,506,101
 New York,401, Bronx County,4610,461,582,0,169,0,3293,105
 New York,406, Bronx County,3845,590,2921,0,40,0,197,97
 New York,423, Bronx County,4500,1108,645,20,453,0,2078,196
 New York,425, Bronx County,6264,1399,797,33,448,8,3374,205
 New York,429.01, Bronx County,4046,1261,397,0,998,0,1291,99
 New York,442, Bronx County,3760,668,2896,0,0,0,129,67
 New York,504, Bronx County,222,123,61,0,3,0,22,13
 New York,451.02, Bronx County,1765,1468,114,0,28,0,115,40
 New York,345, Bronx County,3357,1935,341,0,205,0,713,163
 New York,356, Bronx County,2143,153,1328,24,166,0,362,110
 New York,359, Bronx County,1975,250,505,39,47,0,1054,80
 New York,368, Bronx County,1988,220,1499,0,0,0,244,25
 New York,64, Bronx County,3612,460,1420,0,101,0,1474,157
