city,tract,county,BoroCTLbl,Households (HH) Count,HH 0-10k,HH 10k-15k,HH 15k-25k,HH 25k-35k,HH 35k-50k,HH 50k-75k,HH 75k-100k,HH 100k-150k,HH 150k-200k,HH 200k-UP,Household Median Income,Household Mean Income
 New York,1,Bronx,Bronx 1,0,0,0,0,0,0,0,0,0,0,0,0,0
 New York,2,Bronx,Bronx 2,1328,6.9,2.4,12.3,9.9,11.5,20.4,9.5,15.4,5.9,5.9,59914,72979
 New York,4,Bronx,Bronx 4,1963,7.2,1.9,7.6,3.5,8.5,18.0,17.2,17.3,12.6,6.3,82073,94723
 New York,16,Bronx,Bronx 16,1982,8.4,12.5,11.8,16.5,15.1,17.8,8.1,7.7,1.2,1.1,35802,59663
 New York,19,Bronx,Bronx 19,929,13.7,10.3,6.7,7.2,18.2,19.3,12.4,10.7,0.0,1.6,42075,54415
 New York,20,Bronx,Bronx 20,3151,20.9,14.0,15.6,10.6,9.8,13.7,7.7,5.5,1.2,1.0,24447,43280
 New York,23,Bronx,Bronx 23,2000,23.7,17.4,23.7,10.8,14.1,6.1,3.0,0.3,1.1,0.0,18032,25869
 New York,24,Bronx,Bronx 24,43,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,88.4,0,N
 New York,25,Bronx,Bronx 25,1947,22.1,13.5,15.3,10.8,12.7,9.7,5.3,10.5,0.0,0.0,24530,38060
 New York,27.01,Bronx,Bronx 27.01,1061,27.0,10.7,22.1,10.0,15.5,9.8,4.5,0.6,0.0,0.0,20599,27448
 New York,27.02,Bronx,Bronx 27.02,1484,30.5,22.6,10.9,7.7,9.8,3.7,9.0,4.1,1.8,0.0,14375,30388
 New York,28,Bronx,Bronx 28,2309,4.2,3.7,6.3,9.3,18.8,33.7,8.7,12.3,3.0,0.0,52479,60109
 New York,31,Bronx,Bronx 31,597,8.2,4.5,19.8,5.7,21.1,16.2,11.6,11.6,1.3,0.0,44583,51630
 New York,33,Bronx,Bronx 33,1198,31.2,13.7,17.2,13.9,8.5,6.2,2.8,1.1,4.3,1.2,18511,32082
 New York,35,Bronx,Bronx 35,1293,17.2,7.5,18.3,14.2,10.0,12.8,15.5,2.8,0.0,1.8,30490,41607
 New York,37,Bronx,Bronx 37,148,32.4,8.1,17.6,6.1,8.1,25.0,2.7,0.0,0.0,0.0,0,28997
 New York,38,Bronx,Bronx 38,411,11.9,5.6,17.8,9.0,9.2,13.4,14.1,10.7,0.0,8.3,41438,77720
 New York,39,Bronx,Bronx 39,2047,18.3,15.5,14.4,9.3,16.3,3.3,9.4,5.8,4.9,2.8,25903,48274
 New York,40.01,Bronx,Bronx 40.01,484,4.8,2.3,13.2,16.9,7.6,16.1,15.1,15.7,7.4,0.8,53846,74037
 New York,41,Bronx,Bronx 41,2056,28.0,14.6,17.8,14.9,16.5,1.4,2.9,1.8,0.0,2.1,18942,30771
 New York,42,Bronx,Bronx 42,2736,11.6,16.0,13.9,10.3,13.5,15.5,12.8,6.4,0.0,0.0,33016,41783
 New York,43,Bronx,Bronx 43,2111,21.2,13.6,16.8,11.2,11.3,12.8,4.9,5.8,2.0,0.3,24014,37502
 New York,44,Bronx,Bronx 44,1641,22.5,14.8,21.5,12.1,13.1,6.8,3.0,4.1,2.1,0.0,20884,31408
 New York,46,Bronx,Bronx 46,706,10.9,18.6,16.0,5.8,16.3,18.3,5.9,6.1,1.0,1.1,32750,45977
 New York,48,Bronx,Bronx 48,1407,13.8,5.8,17.1,15.2,17.1,11.0,8.9,8.6,2.0,0.6,33644,48515
 New York,50.01,Bronx,Bronx 50.01,1565,19.6,10.7,20.6,16.5,8.4,6.8,8.6,3.2,2.8,2.9,24619,43357
 New York,50.02,Bronx,Bronx 50.02,1871,20.6,12.6,16.0,14.4,12.3,12.6,6.7,4.1,0.6,0.0,26534,34574
 New York,51,Bronx,Bronx 51,2083,21.6,18.5,23.0,9.6,12.2,12.1,0.8,1.1,0.9,0.3,16844,26571
 New York,52,Bronx,Bronx 52,834,22.9,13.3,19.5,8.4,8.0,15.7,7.1,2.2,0.7,2.2,20833,49690
 New York,53,Bronx,Bronx 53,1591,30.5,17.6,13.3,12.9,10.9,12.1,0.4,1.1,0.6,0.6,16210,26310
 New York,54,Bronx,Bronx 54,1782,11.2,10.3,13.1,15.7,15.2,16.8,6.8,8.4,2.1,0.6,34167,47090
 New York,56,Bronx,Bronx 56,872,24.3,17.2,11.6,9.7,5.7,17.0,7.0,6.4,1.0,0.0,22750,35889
 New York,59.02,Bronx,Bronx 59.02,1017,18.5,6.0,13.1,18.2,10.9,8.4,8.3,11.6,1.7,3.4,29800,53357
 New York,60,Bronx,Bronx 60,385,13.2,14.0,12.5,12.2,20.0,11.9,4.4,5.7,1.3,4.7,33828,48592
 New York,61,Bronx,Bronx 61,2143,6.5,7.3,11.0,5.8,23.2,19.5,12.9,9.7,4.1,0.0,46554,55651
 New York,62,Bronx,Bronx 62,2362,23.2,8.1,14.6,19.6,15.4,10.5,4.9,1.8,1.1,0.8,26184,34645
 New York,63,Bronx,Bronx 63,1891,12.1,10.3,13.9,12.6,20.6,9.4,9.8,5.7,1.7,4.0,35827,58409
 New York,64,Bronx,Bronx 64,1337,25.6,4.9,10.0,10.0,13.8,17.3,9.6,4.6,2.5,1.7,34604,44478
 New York,65,Bronx,Bronx 65,1948,24.8,10.2,17.4,13.8,17.1,5.5,4.8,5.5,0.9,0.0,23737,32185
 New York,67,Bronx,Bronx 67,2336,23.4,9.8,22.9,10.1,10.8,5.7,6.8,5.7,0.0,4.7,22662,75907
 New York,68,Bronx,Bronx 68,1016,12.9,8.9,2.7,7.4,14.2,22.2,7.1,21.0,3.7,0.0,52228,62006
 New York,69,Bronx,Bronx 69,2739,19.3,11.4,10.0,15.6,12.6,12.3,10.1,2.2,5.6,1.0,30089,45303
 New York,70,Bronx,Bronx 70,1296,6.0,6.6,14.1,18.8,8.9,18.8,7.3,14.2,2.2,3.3,39662,59176
 New York,71,Bronx,Bronx 71,996,15.2,6.3,4.7,14.5,13.8,17.0,13.4,6.1,6.7,2.4,41875,58517
 New York,72,Bronx,Bronx 72,1633,10.0,8.8,17.3,9.6,19.6,14.1,6.4,7.5,3.0,3.6,39154,55536
 New York,73,Bronx,Bronx 73,1428,21.8,18.5,18.2,13.4,12.0,8.7,4.9,1.7,0.8,0.0,20595,29144
 New York,74,Bronx,Bronx 74,1326,10.9,13.1,12.1,9.8,11.0,15.3,9.9,9.4,5.4,3.1,38490,55697
 New York,75,Bronx,Bronx 75,2296,16.2,14.8,12.3,10.7,13.9,20.4,6.2,4.2,0.8,0.6,30577,38842
 New York,76,Bronx,Bronx 76,1670,15.6,7.8,13.3,12.7,15.1,18.4,8.8,7.1,0.6,0.5,35369,43795
 New York,77,Bronx,Bronx 77,605,13.7,8.8,17.4,7.1,20.5,18.3,6.1,5.1,1.0,2.0,39934,47465
 New York,78,Bronx,Bronx 78,2117,12.2,10.9,11.4,10.4,7.7,13.7,11.3,14.9,4.2,3.4,44144,62570
 New York,79,Bronx,Bronx 79,2377,21.5,18.4,9.3,17.0,12.0,11.3,6.0,2.6,0.0,1.9,25589,34545
 New York,83,Bronx,Bronx 83,2058,17.6,12.2,15.1,9.5,15.3,13.6,5.4,6.1,1.1,4.0,29939,45664
 New York,84,Bronx,Bronx 84,743,4.7,2.8,5.2,8.2,6.2,14.7,22.2,20.3,10.5,5.1,83605,92282
 New York,85,Bronx,Bronx 85,1933,15.6,14.9,12.0,20.0,9.3,12.3,5.5,8.6,1.0,0.8,30158,47267
 New York,86,Bronx,Bronx 86,1466,26.6,13.8,11.9,12.9,10.1,11.4,4.2,5.1,2.9,1.0,23559,47225
 New York,87,Bronx,Bronx 87,2037,20.7,16.7,11.5,10.3,17.5,10.5,6.7,5.0,1.1,0.0,26378,34863
 New York,89,Bronx,Bronx 89,1155,22.4,13.7,14.1,6.8,16.7,10.6,10.2,3.8,1.6,0.0,24816,37479
 New York,90,Bronx,Bronx 90,1197,17.6,14.3,14.5,15.0,5.6,13.9,5.5,6.9,1.8,4.9,26771,58238
 New York,92,Bronx,Bronx 92,1833,10.3,3.7,15.3,8.2,14.8,17.1,11.8,11.5,4.4,3.0,46421,62081
 New York,93,Bronx,Bronx 93,1693,20.7,7.6,15.6,7.0,20.3,12.2,6.1,7.9,2.7,0.0,33708,42549
 New York,96,Bronx,Bronx 96,774,9.3,9.7,16.4,11.0,4.3,20.3,14.2,9.0,1.7,4.1,47917,59327
 New York,98,Bronx,Bronx 98,1682,5.3,6.4,7.4,7.7,16.5,14.6,12.8,15.9,7.9,5.5,64500,78298
 New York,110,Bronx,Bronx 110,0,0,0,0,0,0,0,0,0,0,0,0,0
 New York,115.02,Bronx,Bronx 115.02,1250,17.5,18.4,18.0,9.6,17.5,5.2,8.2,1.1,0.0,4.5,23345,47507
 New York,117,Bronx,Bronx 117,545,24.6,5.3,27.2,11.7,16.5,7.5,2.8,2.2,1.1,1.1,23149,31714
 New York,118,Bronx,Bronx 118,1605,3.9,9.4,4.7,3.0,9.7,14.6,15.9,21.8,6.5,10.5,84063,97027
 New York,119,Bronx,Bronx 119,1920,22.2,8.8,13.9,15.0,15.3,13.8,4.9,4.5,0.6,1.1,28364,38595
 New York,121.01,Bronx,Bronx 121.01,926,21.2,9.1,9.2,9.3,17.4,14.8,7.6,8.2,2.3,1.1,35588,46275
 New York,121.02,Bronx,Bronx 121.02,511,18.2,15.5,25.6,16.2,11.0,5.5,2.9,5.1,0.0,0.0,22396,28173
 New York,123,Bronx,Bronx 123,1499,17.7,21.1,8.6,9.6,14.4,14.5,6.3,1.1,3.1,3.6,29089,54826
 New York,125,Bronx,Bronx 125,1348,14.2,7.2,17.3,16.8,16.6,8.0,4.9,9.9,1.9,3.2,32500,49077
 New York,127.01,Bronx,Bronx 127.01,723,30.7,10.5,14.1,13.6,7.9,17.3,1.2,2.6,0.8,1.2,21322,32145
 New York,129.01,Bronx,Bronx 129.01,1487,10.6,18.2,20.4,17.1,14.8,7.9,1.8,5.3,3.8,0.0,25204,37630
 New York,130,Bronx,Bronx 130,463,3.2,4.1,2.8,6.9,8.6,12.3,13.0,19.7,19.2,10.2,96938,123071
 New York,131,Bronx,Bronx 131,1668,17.6,14.0,9.5,12.6,9.1,15.9,15.4,4.3,0.6,0.9,31250,44444
 New York,132,Bronx,Bronx 132,2483,2.6,0.6,8.5,1.9,5.6,10.4,12.6,27.3,16.5,13.9,116013,122464
 New York,133,Bronx,Bronx 133,2352,16.1,13.9,23.5,9.8,9.1,14.1,3.7,6.0,0.9,2.8,22182,48220
 New York,135,Bronx,Bronx 135,1415,23.6,14.2,15.7,7.6,10.7,5.1,13.4,8.7,0.0,1.1,22321,41819
 New York,138,Bronx,Bronx 138,1070,6.0,5.9,8.5,6.4,8.5,14.6,13.4,26.3,6.3,4.2,77586,79118
 New York,141,Bronx,Bronx 141,2182,18.2,7.8,17.6,12.4,12.7,15.1,6.4,6.7,0.9,2.2,31311,55263
 New York,143,Bronx,Bronx 143,642,22.6,26.8,13.4,13.4,12.3,10.1,0.0,1.4,0.0,0.0,15455,23031
 New York,144,Bronx,Bronx 144,2289,22.2,17.4,13.7,4.7,16.7,4.9,5.5,9.7,3.3,1.9,22970,44753
 New York,145,Bronx,Bronx 145,2380,18.6,13.2,8.1,17.0,17.1,13.8,3.8,6.5,1.6,0.5,29242,49046
 New York,147.01,Bronx,Bronx 147.01,1984,25.7,24.8,12.7,13.4,13.4,6.3,0.2,3.6,0.0,0.0,14927,25048
 New York,147.02,Bronx,Bronx 147.02,1659,17.1,16.2,19.9,11.8,12.8,13.1,4.8,2.9,1.4,0.0,21893,32978
 New York,149,Bronx,Bronx 149,1623,17.9,8.4,21.6,9.7,14.0,11.5,10.6,4.3,2.0,0.0,28008,40503
 New York,151,Bronx,Bronx 151,1732,9.2,12.6,19.7,9.2,14.7,8.7,11.8,12.4,1.6,0.0,33700,48263
 New York,152,Bronx,Bronx 152,910,10.0,5.5,6.4,4.7,7.5,21.6,13.4,16.3,5.2,9.5,70917,84432
 New York,153,Bronx,Bronx 153,1586,29.6,10.5,16.8,5.2,6.6,12.0,6.5,5.3,4.5,2.9,17438,50426
 New York,155,Bronx,Bronx 155,1111,22.3,12.0,25.2,8.6,14.6,4.5,9.3,1.4,2.2,0.0,19850,31410
 New York,157,Bronx,Bronx 157,1516,13.7,10.7,15.3,11.9,18.1,13.1,7.7,4.6,1.5,3.4,33864,49913
 New York,158,Bronx,Bronx 158,469,8.1,1.1,17.1,18.3,10.2,16.0,9.0,12.4,7.9,0.0,43661,59384
 New York,159,Bronx,Bronx 159,690,33.0,12.5,15.9,10.7,8.4,3.8,5.2,8.6,0.0,1.9,17778,33224
 New York,160,Bronx,Bronx 160,1561,6.9,2.6,8.8,7.9,7.3,16.6,15.5,19.0,6.3,9.1,74531,86937
 New York,161,Bronx,Bronx 161,1752,30.1,17.7,15.3,8.6,9.2,7.6,5.9,3.9,1.7,0.0,16121,30312
 New York,162,Bronx,Bronx 162,576,1.2,6.9,11.5,8.7,7.8,8.9,11.6,25.7,7.5,10.2,81908,109897
 New York,163,Bronx,Bronx 163,0,0,0,0,0,0,0,0,0,0,0,0,0
 New York,164,Bronx,Bronx 164,433,0.0,6.0,6.9,0.0,15.5,18.9,19.9,19.4,6.5,6.9,78646,101635
 New York,165,Bronx,Bronx 165,341,14.7,10.6,20.5,15.2,6.5,18.2,12.3,0.0,0.9,1.2,25980,38748
 New York,166,Bronx,Bronx 166,773,4.0,2.5,10.9,12.2,13.6,11.1,12.9,16.7,7.8,8.4,64792,82187
 New York,167,Bronx,Bronx 167,1033,14.5,10.0,10.6,17.8,14.9,13.7,13.6,4.3,0.6,0.0,31902,41753
 New York,169,Bronx,Bronx 169,493,19.7,11.6,15.0,17.4,7.7,10.1,3.7,11.6,2.2,1.0,28601,44052
 New York,171,Bronx,Bronx 171,0,0,0,0,0,0,0,0,0,0,0,0,0
 New York,173,Bronx,Bronx 173,2110,20.0,21.3,17.6,3.0,10.5,15.5,7.1,2.3,2.8,0.0,20464,34903
 New York,175,Bronx,Bronx 175,2743,16.5,16.2,15.8,12.4,12.0,16.0,6.3,4.1,0.0,0.7,25844,41558
 New York,177.01,Bronx,Bronx 177.01,1208,13.6,9.1,21.7,9.4,11.0,14.5,1.9,10.1,0.0,8.7,31225,58978
 New York,177.02,Bronx,Bronx 177.02,1718,17.8,6.1,15.6,12.5,9.7,14.2,4.9,16.5,1.5,1.2,33426,57042
 New York,179.01,Bronx,Bronx 179.01,1673,18.8,9.7,16.3,2.3,18.6,17.0,9.3,4.9,2.6,0.5,37127,43929
 New York,179.02,Bronx,Bronx 179.02,1160,21.3,12.8,17.7,6.9,12.3,16.3,7.6,2.9,2.2,0.0,23276,37043
 New York,181.01,Bronx,Bronx 181.01,1045,22.3,7.9,21.2,6.5,10.2,11.8,13.5,4.4,2.1,0.0,23750,40451
 New York,181.02,Bronx,Bronx 181.02,1639,19.3,7.2,11.5,17.0,13.8,12.8,9.4,7.2,1.4,0.5,33273,43323
 New York,183.01,Bronx,Bronx 183.01,1995,12.2,16.9,13.9,11.8,7.4,15.0,9.4,9.0,2.6,1.9,31638,49932
 New York,183.02,Bronx,Bronx 183.02,1279,15.8,8.1,7.1,16.0,16.5,15.4,12.4,6.3,0.4,2.0,37139,53144
 New York,184,Bronx,Bronx 184,1554,9.5,3.8,13.5,5.2,4.6,15.4,8.4,23.4,11.6,4.5,66389,81306
 New York,185,Bronx,Bronx 185,2871,17.4,11.7,16.1,11.4,11.7,18.6,8.5,2.1,1.4,1.2,27324,44680
 New York,189,Bronx,Bronx 189,2898,17.1,14.6,11.4,13.6,8.3,17.7,7.8,8.1,0.8,0.6,29118,41557
 New York,193,Bronx,Bronx 193,2159,27.9,9.8,14.2,18.5,9.3,12.2,4.9,1.5,1.7,0.0,22750,30132
 New York,194,Bronx,Bronx 194,733,13.5,10.1,9.7,7.8,8.3,22.0,9.1,8.0,8.0,3.4,52250,63870
 New York,195,Bronx,Bronx 195,2686,15.2,9.6,15.1,18.7,12.0,16.3,5.8,4.1,2.3,0.8,27281,40903
 New York,197,Bronx,Bronx 197,2250,11.9,16.0,17.3,7.7,14.5,13.4,10.6,4.2,2.2,2.2,31225,46135
 New York,199,Bronx,Bronx 199,2874,8.3,9.6,23.4,9.4,13.2,14.6,7.9,10.2,1.1,2.2,34247,49205
 New York,200,Bronx,Bronx 200,1428,9.5,9.0,16.0,8.1,16.5,15.7,9.7,8.8,3.6,3.2,41313,55274
 New York,201,Bronx,Bronx 201,1296,19.2,7.5,14.5,14.0,19.4,8.9,8.8,3.4,2.3,2.1,32188,44024
 New York,202,Bronx,Bronx 202,824,13.8,14.0,10.8,8.5,9.0,19.7,5.3,14.7,2.3,1.9,38750,54645
 New York,204,Bronx,Bronx 204,1043,8.1,5.8,7.6,16.6,11.3,19.5,12.1,13.0,5.2,0.8,50275,61235
 New York,205.01,Bronx,Bronx 205.01,2822,17.0,25.5,13.5,12.0,6.7,10.5,7.7,4.1,2.9,0.0,19615,36291
 New York,205.02,Bronx,Bronx 205.02,910,28.9,16.6,12.7,5.8,8.6,11.2,4.8,5.1,4.7,1.5,16507,40670
 New York,206.01,Bronx,Bronx 206.01,827,14.9,7.3,10.0,9.6,5.6,18.6,16.1,11.5,5.8,0.7,52163,59299
 New York,209,Bronx,Bronx 209,1709,20.4,9.4,14.2,12.8,15.9,11.9,10.7,4.0,0.8,0.0,30625,37917
 New York,210.01,Bronx,Bronx 210.01,3943,6.3,5.1,12.1,6.6,13.1,22.6,10.3,20.5,1.2,2.1,54347,64821
 New York,210.02,Bronx,Bronx 210.02,3182,9.3,1.7,8.0,9.6,13.8,25.6,13.8,13.0,2.6,2.7,56085,72178
 New York,211,Bronx,Bronx 211,1856,15.2,14.9,13.1,16.3,16.1,14.2,5.5,4.7,0.0,0.0,28041,34898
 New York,212,Bronx,Bronx 212,2147,5.6,6.3,9.8,6.9,10.7,29.3,12.1,17.4,1.8,0.0,56080,60739
 New York,213.01,Bronx,Bronx 213.01,449,14.3,10.0,25.8,10.9,10.5,8.2,3.8,11.6,1.1,3.8,24970,50809
 New York,213.02,Bronx,Bronx 213.02,2017,19.3,8.7,11.9,17.4,16.6,14.8,6.4,4.9,0.0,0.0,30220,36473
 New York,215.01,Bronx,Bronx 215.01,1389,17.2,11.3,17.4,9.6,12.0,13.6,3.5,13.1,2.3,0.0,27630,44490
 New York,215.02,Bronx,Bronx 215.02,2153,19.1,15.5,18.9,14.0,12.2,9.8,2.9,5.8,1.9,0.0,22926,34591
 New York,216.01,Bronx,Bronx 216.01,1655,11.1,5.4,23.2,18.9,16.3,8.8,5.6,6.9,3.4,0.4,29990,43115
 New York,216.02,Bronx,Bronx 216.02,2429,8.6,5.1,9.3,8.2,18.8,22.9,12.6,10.8,2.5,1.1,49750,57990
 New York,217,Bronx,Bronx 217,1679,13.0,16.3,20.4,8.1,13.5,14.4,10.7,1.3,2.4,0.0,25304,38360
 New York,218,Bronx,Bronx 218,2320,7.6,4.4,17.5,13.4,13.1,18.7,10.0,11.4,2.6,1.3,39596,54460
 New York,219,Bronx,Bronx 219,398,13.3,16.8,29.1,7.5,9.8,15.8,3.5,2.3,1.8,0.0,21686,34313
 New York,220,Bronx,Bronx 220,676,16.3,7.5,17.8,10.5,19.7,19.4,4.9,1.6,1.3,1.0,32222,39366
 New York,221.01,Bronx,Bronx 221.01,1261,19.7,12.8,12.5,17.7,6.7,14.7,10.5,5.6,0.0,0.0,28192,39277
 New York,221.02,Bronx,Bronx 221.02,1689,12.4,16.3,23.8,12.1,13.1,12.7,1.9,6.9,0.0,0.8,23973,35657
 New York,222,Bronx,Bronx 222,1140,1.5,7.5,21.8,9.0,18.5,18.8,10.5,8.9,3.1,0.3,41228,52145
 New York,223,Bronx,Bronx 223,1845,15.0,10.0,23.0,14.3,11.2,17.5,6.2,1.8,1.1,0.0,26537,34546
 New York,224.01,Bronx,Bronx 224.01,1134,14.4,4.1,5.9,6.4,17.5,21.9,19.6,8.1,0.7,1.4,51397,69663
 New York,224.03,Bronx,Bronx 224.03,1341,17.5,8.1,11.6,9.5,11.5,13.7,8.4,15.9,3.1,0.7,39632,54320
 New York,224.04,Bronx,Bronx 224.04,1833,7.0,4.4,8.5,11.4,16.3,24.5,8.5,13.7,3.9,1.8,51918,65608
 New York,225,Bronx,Bronx 225,2328,15.8,6.1,13.3,14.6,14.7,16.9,15.6,0.0,1.2,1.9,35137,52646
 New York,227.01,Bronx,Bronx 227.01,1856,13.4,14.8,16.8,12.3,9.6,17.0,9.8,2.6,3.2,0.5,31214,45946
 New York,227.02,Bronx,Bronx 227.02,577,26.7,2.8,19.9,6.1,15.3,9.7,11.8,7.8,0.0,0.0,30337,38781
 New York,227.03,Bronx,Bronx 227.03,587,9.5,6.5,8.9,9.4,16.5,21.8,15.7,7.2,2.6,2.0,46635,58558
 New York,228,Bronx,Bronx 228,2332,2.2,7.2,10.4,10.2,15.5,20.5,14.5,17.2,1.6,0.8,53735,61927
 New York,229.01,Bronx,Bronx 229.01,1970,15.9,16.5,13.3,9.0,16.0,9.8,8.4,6.2,4.1,0.6,28889,44101
 New York,229.02,Bronx,Bronx 229.02,1105,16.9,7.7,16.3,8.7,15.5,26.2,4.8,2.3,1.7,0.0,35563,39887
 New York,230,Bronx,Bronx 230,948,16.5,3.0,18.6,7.1,13.7,16.9,10.3,6.3,7.0,0.7,41600,54506
 New York,231,Bronx,Bronx 231,455,15.6,13.8,17.6,15.6,11.0,14.7,10.8,0.0,0.0,0.9,28365,35846
 New York,232,Bronx,Bronx 232,809,7.0,8.9,7.3,10.6,12.7,12.7,19.8,14.1,5.1,1.7,54539,68547
 New York,233.01,Bronx,Bronx 233.01,1545,23.6,11.7,11.8,13.7,13.9,14.0,8.0,2.1,1.1,0.0,27582,35062
 New York,233.02,Bronx,Bronx 233.02,988,14.1,11.9,16.1,8.8,18.5,15.0,7.6,5.2,2.8,0.0,34477,43119
 New York,235.01,Bronx,Bronx 235.01,1118,16.3,12.2,22.1,10.1,14.6,20.3,2.7,1.8,0.0,0.0,22315,32390
 New York,235.02,Bronx,Bronx 235.02,1669,17.2,19.8,14.6,7.8,15.0,11.7,4.1,8.8,0.0,1.0,23191,40679
 New York,236,Bronx,Bronx 236,606,21.6,7.4,16.0,7.9,7.8,15.7,4.8,11.4,3.8,3.6,30625,51725
 New York,237.02,Bronx,Bronx 237.02,331,11.5,6.3,12.1,17.8,16.6,14.2,3.0,13.3,2.1,3.0,37083,53758
 New York,237.03,Bronx,Bronx 237.03,1594,19.4,9.8,15.3,8.8,9.7,9.8,19.4,6.9,0.9,0.0,32930,45127
 New York,237.04,Bronx,Bronx 237.04,1325,19.7,9.8,27.8,11.9,18.1,10.0,0.0,2.7,0.0,0.0,21095,27652
 New York,238,Bronx,Bronx 238,803,14.8,3.9,7.7,6.0,16.9,21.8,7.3,13.9,7.0,0.6,50353,60184
 New York,239,Bronx,Bronx 239,2510,21.1,11.1,19.4,6.5,23.8,7.7,4.3,5.7,0.4,0.0,23734,34351
 New York,240,Bronx,Bronx 240,1284,7.2,11.7,11.3,20.1,7.0,21.3,9.5,5.6,5.5,0.9,34918,52522
 New York,241,Bronx,Bronx 241,1958,8.8,10.3,17.9,10.4,21.5,16.3,6.1,5.4,1.9,1.5,37672,46305
 New York,243,Bronx,Bronx 243,2004,19.9,13.8,18.0,13.2,8.2,17.9,5.4,3.3,0.4,0.0,23873,33687
 New York,244,Bronx,Bronx 244,805,8.7,3.6,8.7,8.8,12.3,27.5,8.8,12.3,4.2,5.1,54705,70530
 New York,245.01,Bronx,Bronx 245.01,1476,21.7,16.7,15.0,11.3,14.8,9.5,6.8,1.8,2.4,0.0,20192,32314
 New York,245.02,Bronx,Bronx 245.02,1202,17.2,19.0,13.1,6.0,12.0,20.2,8.4,3.6,0.0,0.6,26406,37059
 New York,246,Bronx,Bronx 246,725,10.6,4.0,7.3,5.5,13.0,18.8,9.4,16.7,9.8,5.0,62529,81822
 New York,247,Bronx,Bronx 247,769,12.2,5.5,7.2,9.2,22.5,22.4,15.5,5.6,0.0,0.0,44973,49841
 New York,248,Bronx,Bronx 248,1100,5.6,6.0,5.5,10.3,9.2,25.5,5.4,23.5,6.0,3.1,58553,77903
 New York,249,Bronx,Bronx 249,0,0,0,0,0,0,0,0,0,0,0,0,0
 New York,250,Bronx,Bronx 250,980,7.7,1.1,8.6,5.3,16.2,8.7,17.3,12.9,5.8,16.4,77000,98586
 New York,251,Bronx,Bronx 251,2156,11.5,16.0,19.8,9.8,18.5,7.2,11.8,2.0,1.2,2.4,28209,42132
 New York,252,Bronx,Bronx 252,915,3.9,0.7,7.9,8.6,11.3,17.8,11.6,14.3,17.3,6.7,74712,95291
 New York,253,Bronx,Bronx 253,2025,13.2,5.2,19.2,14.7,16.4,23.7,5.2,1.1,0.7,0.7,33048,40087
 New York,254,Bronx,Bronx 254,778,8.5,5.0,13.0,9.3,13.6,17.7,9.5,10.8,9.9,2.7,50735,66616
 New York,255,Bronx,Bronx 255,2291,11.0,15.4,20.9,6.1,19.3,8.2,12.9,4.5,1.7,0.0,27145,40831
 New York,256,Bronx,Bronx 256,622,9.2,3.1,10.6,13.0,21.5,10.8,5.8,19.8,3.2,3.1,43316,61665
 New York,257,Bronx,Bronx 257,691,10.7,10.3,6.2,14.3,13.7,24.3,9.4,3.6,0.4,6.9,42679,63242
 New York,261,Bronx,Bronx 261,1005,2.3,1.7,7.7,10.1,12.7,20.1,14.3,22.9,5.7,2.5,70733,83005
 New York,263,Bronx,Bronx 263,2382,24.8,11.8,15.0,9.8,8.9,11.6,9.0,3.2,4.6,1.3,23750,42971
 New York,264,Bronx,Bronx 264,1908,6.1,3.3,7.9,9.9,15.5,24.2,10.8,11.4,7.0,3.9,56531,76629
 New York,265,Bronx,Bronx 265,2148,6.9,13.7,17.5,10.5,15.7,16.2,10.9,6.5,1.6,0.5,38382,46179
 New York,266.01,Bronx,Bronx 266.01,1386,5.6,3.0,11.3,8.3,20.3,13.8,18.4,14.8,3.9,0.5,53000,67339
 New York,266.02,Bronx,Bronx 266.02,2432,8.8,10.0,6.7,11.4,8.4,16.2,22.5,9.4,6.0,0.6,57386,61201
 New York,267.01,Bronx,Bronx 267.01,1319,9.9,8.1,13.9,9.3,10.8,15.8,12.4,15.5,2.7,1.5,48795,58467
 New York,267.02,Bronx,Bronx 267.02,2541,16.0,11.1,13.5,7.6,18.1,18.1,5.0,7.1,3.0,0.6,36174,49908
 New York,269,Bronx,Bronx 269,1352,20.3,6.7,8.5,9.5,11.5,19.2,15.8,6.4,1.1,0.8,37625,47930
 New York,273,Bronx,Bronx 273,2684,16.8,3.9,18.6,9.4,10.9,22.1,6.8,5.2,4.3,2.0,36902,51753
 New York,274.01,Bronx,Bronx 274.01,1729,1.2,0.6,14.6,3.1,7.6,14.2,18.0,18.0,11.7,11.0,88169,101012
 New York,274.02,Bronx,Bronx 274.02,1332,5.2,3.9,7.0,3.6,9.5,15.2,14.0,19.4,12.1,10.1,87273,100365
 New York,276,Bronx,Bronx 276,4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,N
 New York,277,Bronx,Bronx 277,1734,13.3,17.0,15.3,10.2,6.6,19.6,4.4,12.0,0.7,1.0,28529,44486
 New York,279,Bronx,Bronx 279,2644,4.3,2.9,8.9,7.6,13.3,24.1,17.9,11.8,5.7,3.7,59375,72853
 New York,281,Bronx,Bronx 281,1711,3.1,4.6,10.5,7.1,11.7,21.4,15.1,16.4,3.6,6.6,66525,80994
 New York,283,Bronx,Bronx 283,1094,17.3,11.7,25.0,9.0,13.4,10.6,1.0,10.8,1.1,0.0,23889,37399
